query|response_before|response_after|reward_before|reward_after
I had fun when|I had fun when we were here. For starters, I got the Crispy Pepperoni Toast and spicy Hawaiian Dip. The Dip was a little|"I had fun when I was having another cover for the New York Times: ""While we were out with the dog, at the same time,"|0.9918801188468933|0.9914163947105408
Just hope you're there|Just hope you're there next time I'm in austin...life has a good time.The food was great!  Not much variety for appet|Just hope you're there again! Will be coming again and again for the rest of our Quebec epic-hip - and this sound will just end|0.9923923015594482|0.8607012033462524
Local shop with a|Local shop with a drink menu.  I highly recommend trying it while you're in. Probably the best pho in Orlando. My favorite is|Local shop with a very warm spot that always feels right; remember being parked on a hot summer morning; always reminded me of marxico's|0.9911584258079529|0.9763519763946533
Its been over a|Its been over a year since we first came here.  I loved the ice cream and bread!  It was very reasonably priced to last forever|Its been over a year, I'm know that; updated to 2012; Mei's has become my new Swiss Style I've discovered! Last visit|0.9922000765800476|0.9149685502052307
Food wasn't that good.|Food wasn't that good. The only single complaint my company has is the layout. I like the 2500 block team layout, but it must have been better|Food wasn't that good.  He offered me gingerbread, which I enjoy very much, and the lemonade and olives.  Sure enough i|0.0033892535138875246|0.3886253535747528
Passable middle eastern and|Passable middle eastern and quality organic ingredients. Will be returning for lunch on a Monday.You will almost feel at home in the West Hollywood, which|Passable middle eastern and educational setting. Yes, there are plenty of people there, but there are a couple who reside in a good neighborhood semi-|0.9836772680282593|0.9104170203208923
Great music, but bartenders|Great music, but bartenders work very close.Best BBQ anywhere I have been in this area! Chicken Tikka Masala was among my best meals ever|Great music, but bartenders (Jessie D?) were so drunk that she wasn't going to make them more loud, the music was so bland,|0.9926774501800537|0.3734545111656189
Great food always. Service|Great food always. Service was good and no issues was a bit odd. They have a range of vegetarian selections but they are not tasty at all,|Great food always. Service, food (aspectations - if I am at WTA Studios) is superb - usually 1-2 options or 3|0.35499295592308044|0.9925521612167358
Billy's ultimate steam pot|"Billy's ultimate steam pot? Sit in a greenhouse with exposed wood and open air and there's no tables. They have gluten free options.

"|Billy's ultimate steam pot is a sublimely balanced bowl of steamed and soy sauce mixed in: the Phi, tofu, Thai sauce|0.31792500615119934|0.10771199315786362
Ehhhh the food was|"Ehhhh the food was almost incredible!! The food was delivered online, and I couldn't even finish the food!! 
Overall it was a great"|"Ehhhh the food was clearly delicious enough for my husband and I are asooo thrilled by the success of the location as I would be.

"|0.992377758026123|0.9929271340370178
Average show worth the|"Average show worth the trip to Barorca! Believe me, it was pretty crowded, especially during the afternoon. 

So be sure"|"Average show worth the price. Every table is topped with Tacos for engagement*. 

Hotels weren't warm, but it was warm"|0.12101412564516068|0.8440413475036621
Not bad. Fairly small|Not bad. Fairly small, not big enough for a King title that would square with insulated booths and open kitchen. I opted for pizza from bars.|Not bad. Fairly small bar. (I'm just not pretty.) But i liked the concept of the damn Bar Burger and they even brought back a|0.6046626567840576|0.7737173438072205
not impressed. My salad|not impressed. My salad was savory and very fresh. I leave disappointed. Especially if it is authentic. They brought me and my nigiri special|not impressed. My salad was good, but hadn't sowed too much in the pastry. The fries were damn good that we split the lemonade|0.004176592919975519|0.3815533220767975
Wasn't impressed sorry delivery|Wasn't impressed sorry delivery!Seaweed made real value purchase and XL available for you to pick from. Honestly, it was not for me.|Wasn't impressed sorry delivery very limited service.  This restaurant probably sounds like the New York real life before fate.  It's really good, and|0.003196877194568515|0.040403176099061966
Friendly staff. Great food.|Friendly staff. Great food.Clean and tasty food - I start the experience in the front to point my gaze towards the Louvre rotating room. From the|Friendly staff. Great food. Perhaps the best part was being served during lunch.Probably not far from where in the back yard. It started as out boxing|0.9900341629981995|0.9918583035469055
This place is always|This place is always very nice and very nice!  I've had their spring rolls which are exactly the same as fresh ones but with just a|"This place is always hospitable.. 
So when ; need be and can give a weekly Priceline Card $100 for an entire"|0.9925877451896667|0.9253038167953491
Really, the appeal is|Really, the appeal is pretty large since nothing I've tried in all is so good. And most importantly the local sandwich.  Alfredo, lettuce|Really, the appeal is undeniable. Maybe if we tried to test the menu, then try the milk bread. If those bread pans were by far over|0.9708443880081177|0.8090977072715759
I had the banana|I had the banana and banana and remembered it was to die for, didn't order it so I kept saying it was okay!  Not bad|I had the banana latkes and berry macaroni fries and it was absolutely delicious! Be sure to check out Michela's on occasion|0.7921544313430786|0.9921501874923706
Maybe it's just me,|Maybe it's just me, with a bad temper and the obnoxious attitude I get at night, these folks have a cruel way to draw me up. Not|"Maybe it's just me, no question on it.

This place makes all of it all delicious. For $3.99 take-your-"|0.0033433279022574425|0.9832720160484314
Good food. \nFast service.|Good food. \nFast service.  Maybe a little better the food chains of this location if they were still offering out menu items try it.  Its like|Good food. \nFast service. Upon Google search for a price in  his shirt choices were noisier in the front, in everything we were greeted smelling|0.9763843417167664|0.9465778470039368
Great salad, fast service|Great salad, fast service, and lousy salads all make up for a multitude of bad reviews. I had the Hâvea Quarter Combo, which|Great salad, fast service and a very welcoming hostess. Pretty well eaten until she tries to convince them to stop eating. Otherwise the shrimp was f|0.01386913750320673|0.99003005027771
- Overrated\n- Expensive\n- Hipsters\n\nThree|- Overrated\n- Expensive\n- Hipsters\n\nThree of my favorite restaurants in Laredo, TX, and Sonoma. ReasonThe five guys had both the ambiance and|- Overrated\n- Expensive\n- Hipsters\n\nThree Eel Auckland (with an atmosphere a little moped, then taunts the Marco, creepy pan-Rs, and super|0.7011594176292419|0.04917879030108452
Yum!\nCute, cute place!! Go|"Yum!\nCute, cute place!! Go here if you want all the people involved!!!! 

And you get what you get! Football grounds in a charles"|Yum!\nCute, cute place!! Go after!! Even if you're looking for hot or sweet relief from manager.... Now here me thinking buckwaits is going to|0.9879819750785828|0.9757747650146484
This place is great|This place is great, quite quiet and has open indoor dining room offering a good amount of pleasant ambiance, thanks to the generous amount of seating|This place is great! For the entrees you get your entrees (by the minute) and/or drinks (by the hour) or|0.9923219084739685|0.9921011328697205
Overpriced and small portions,|Overpriced and small portions, packed with many tasty choices. Linda and Julie were amazing. Will be coming back for sure.What must I say i was|"Overpriced and small portions, I hate it another way. 

Special thanks to Randy, the owner (who allowed me to put an incorrect name"|0.9927722811698914|0.004592979326844215
The staff is nice,|The staff is nice, knowledgeable, goes above and beyond to make this a real thing. Quick lane and a service is quick great quickly! All IN|The staff is nice, and a lot of the regulars are awesome. The management used to be super nice we still seem older and who cares about their|0.9921402335166931|0.986362874507904
Friendly and courteous staff!|Friendly and courteous staff!Surrounded by some of the best bars in Orlando age! Gonna go back especially for special dinner or dinner at night!|Friendly and courteous staff! Security, setup, timers; water dispenser, server before checking-in fencing; man, PORTLAND beers and beer|0.9925732612609863|0.9856507182121277
It's not what I|It's not what I'd hoped for. It's nicely decorated, decent, and just delicious. Unfortunately, some locals were rude to us. K|It's not what I need but definitely made it a 5. Steven and Ashley will blow the bank and convert me into a Thai restaurant where I swear|0.0917057991027832|0.5724228024482727
Used to be a|"Used to be a ranking point, but even for a cafe, I believe on our next trip!

Also added to the ambience:"|"Used to be a small bakery, but it's a sign that will deny you a chance to gawk away, recover and ask.

"|0.5732417702674866|0.004246147815138102
The Place is nice|"The Place is nice, slightly old but very nice.

This place had splurging sideways on its exterior.  It was good."|"The Place is nice and now really has a very dark classic rolled in ; special! 

I declined in 2004 as cooks for bb"|0.9913903474807739|0.49010559916496277
People love this place.|People love this place. A bit pricey and the line might get a little long. As you can see from the above photo I think it's alright|People love this place. I am glad that they are open; most restaurant in Portland has been closed as parties go. I agree i have to point|0.9812340140342712|0.9912068247795105
What a disappointment! Food|What a disappointment! Food is not much different tends to be fresh (they give you 3 different rolls each time) but it's everyone'sgoed|What a disappointment! Food goodness, reasonable prices, authentic, friendly, and super-authentic.  The food has been incredible and a couple of|0.0033510338980704546|0.5274059772491455
Hit & miss. Today|Hit & miss. Today I moved past that and we ordered the regular crab cake. The huge cone cake was not all the perfect size, but was|Hit & miss. Today's was, had an incredible array of waffles, luscious corn kernels, butter and organic cinnamon (I did finally|0.11797405779361725|0.93414705991745
Real neat idea. Neat|"Real neat idea. Neat, even look for an upstairs bathroom, going easy :) So green, or light or dark, actually!

The salt"|Real neat idea. Neatmosphere was gorgeous, and everyone was at the top of my head in a fun brand new baruch of frigid oct|0.9750726819038391|0.9917069673538208
The pizza was good|The pizza was good too.Excellent fast service! The hostess has been outstanding and I can't wait to come back.The portion sizes are|The pizza was good. Napoli made the pizza with a sauce, cookie caramelized strawberry and lime stone on the pizza! I mentioned that the|0.9926431775093079|0.9863345623016357
Good food, reasonable prices|Good food, reasonable prices this week.Just visited my office with a friend and my foodie fave wanted to try different hibachi's.|Good food, reasonable prices, and good value. I had the delectable mac and Cheese combo and they recommended it because so many of the original|0.9879391193389893|0.9888039231300354
A convenient local deli|"A convenient local deli and ""yummy"" location in the Gardiner district.The BEST Ethiopian coffee I have had in the spring!! I've"|A convenient local deli. They serve lunch and dinner at hour and lunch times to various customers.Unfairly priced with multiple schedules. I finally|0.9927655458450317|0.05229206010699272
a fine repertory cinema/cinema|a fine repertory cinema/cinema type where the majority of people eat all their food correctly.Foodie C was my perfect go to taco place for 2,|a fine repertory cinema/cinema sound that you either wince or breeze around in your ear are as difficult as you find a Chinese diesel exhaust here (since|0.9837077260017395|0.07329139858484268
Terrible Prime Rib. But|Terrible Prime Rib. But let me talk about how awful the steak was. Soooooooo tasty. The only negative thing you can tell from the menu|Terrible Prime Rib. But what kind of eating technique really works? How's it done? Doesn't it deliver? The quality of the food is nice|0.00339938304387033|0.05910709872841835
Great atmosphere, food was|"Great atmosphere, food was great and the staff was very attentive and helpful. 

I try every single dish on the menu and its always there"|"Great atmosphere, food was great, and the food was decent. 

Entree and fries are knighted and the always-present Clam"|0.9925786852836609|0.9928494691848755
It was good, but|"It was good, but I might just order it here soon. I highly recommend an espresso.

I had a glass of their normally priced American"|It was good, but they didn't represent the pictures being looked up.Cuddles are great if you think Pub. Good if you are curious|0.9891757369041443|0.9579594731330872
Not impressed. Overpriced. Mediocre|Not impressed. Overpriced. Mediocre pacing at a time, a little small buffer on top of meeting the needs of the community. Delicious cilantro green salad.|Not impressed. Overpriced. Mediocre and time consuming too. I was thoroughly inspired with their quality of ingredients from Chaben's (TCD. Yeah,|0.015391127206385136|0.007680477574467659
really good stuff. Goos|really good stuff. Goos here, because, no one can cook an Italian meal of this quality. If you haven't tried this place before, DO|"really good stuff. Goos buffet for a bite.Does not serve staff, please take reservations for this restaurant.

You will not be disappointed by"|0.9928209185600281|0.9895904660224915
good location in the|good location in the neighborhood of Kingsway. We have reservations for a Thursday restaurant night at valet place in midtown/city only. |good location in the north side of Chinatown for a robust yet well informed environment paired with a well-selected bar/rest room. The service was|0.9681670665740967|0.8402274250984192
The Penang is out|The Penang is out of this world. To skip the magic of food to lose 5 pounds of your diabetes could give you so much and so much|The Penang is out today (December - B.Y.)  In today's space it seems like that you MUST HAVE a Monopoly. Mon|0.26579174399375916|0.0453648716211319
fast +cheap if you|fast +cheap if you're looking for a place to poke things (even Asian food pizzas it begelibly good!), and breading is|fast +cheap if you're in any of the freeclameral towns in Orlando.  I can't attest to the pure creativity of this restaurant|0.9744645357131958|0.9901124835014343
Nice place for a|"Nice place for a quick kick and hit the spot. It's an old plaza location.

Service inside is pretty good. Kinda cute"|Nice place for a great Chinese food. This is a pitcher of spicy chicken and Jia had tea. The pickled cucumber sank & citrus|0.9895836114883423|0.9903312921524048
Friendly service but food|Friendly service but food was awesome. Can't go wrong with a bit of yummy food and great service.Great deviled eggs with mashed potatoes|"Friendly service but food was excellent but compared to other places that do chef-keeping they must check your review.
I've been coming here for"|0.9927299618721008|0.9567022919654846
Very good food and|Very good food and The Kettle is tasty. It's definitely easy to pry a side or two up a good old hat. Beef Balls|"Very good food and service.  They served Tigers and included the Vegetarian.
It's Welcome Vegetarian Gourmet for some reason. "|0.9917963743209839|0.9915635585784912
Average food, VERY limited|Average food, VERY limited menu.I have been here a few times over the last 18+ months, as satiation has become a daily staple that|Average food, VERY limited service and super fresh food, very few vegan options on the menu. The french fries are terrific too, and especially Peanut|0.6039025783538818|0.9074217677116394
A clean, well-lit place|A clean, well-lit place to check out the green grille and the other shopy dishes. If you can find when you walk in, do yourself|A clean, well-lit place, but has consistently been dismal and messy. The group who came that evening was definitely instantly overwhelmed by people who had not only|0.4259605407714844|0.0024097173009067774
We went there for|We went there for the first time last week. Service amazing! We ordered servers Salya and Papa Taqueria Pastor. Both what I appreciated|"We went there for lunch with friends, as usual. 
There were two tables to share, and it was a really neat wait. "|0.9926614761352539|0.9718899726867676
The rooms are very|The rooms are very cool and inviting.   I particularly appreciate yelp's peaceful decor on what looks like a lot of what you might|"The rooms are very clean, with a large hanging TV room, and candles, which really help to bring home feelings. 
We were served"|0.9920468330383301|0.9829326868057251
Must be a good|Must be a good date night in Austin for only $19/half a plate to share.One of my very favorite spots at Lobster nig|Must be a good experience. The proportions are great. I began our meal with the free yak. Really great food, really nice people. We|0.9909103512763977|0.9928378462791443
The food was good|"The food was good and worth the stop. For order this place I'll say so.

Check it out as it's small definitely worth"|The food was good, but slightly better. Lemon egg pancake, onion joke, fatty--it WAS good!....I love Tex Mex so|0.9900998473167419|0.9918311238288879
Free WiFi! Spread far|Free WiFi! Spread far too thin for you! You can even do sandwiches and hotdogs with Swiss fries! It's so hard to find good service|Free WiFi! Spread far researching this place before you just stepped foot through the front gate just to discover Bloody Mary! Just friends, we frequent this place|0.20096628367900848|0.9190077185630798
The chicken was fresh|The chicken was fresh and tender and served hot and perfectly. The green chile salad was also wonderful. My husband shares the lamb tomat sh|The chicken was fresh and fresh. It was served at the least 4 servings and it was on the tastiest meals we've ever had. If|0.9880656003952026|0.9848050475120544
Best pizza in America?|"Best pizza in America?Man, they're BACK!!!

So, until now.  Now, I know, even if they've sold everybody"|Best pizza in America?  Seems to be the cause, as the freshly baked pizza is some of the best I've ever tasted.  Get one|0.9819429516792297|0.9923670887947083
Pizza is good. Got|Pizza is good. Got the chicken breasts, sausa melty, graham cracker, and risotto squash. The juicy was light, thick|Pizza is good. Got the forgo - shell, lettuce, tater tots etc., friendly comparison anyway. Pricing was reasonable after the meat drive|0.9862479567527771|0.9847720265388489
Good vibe, good food.|Good vibe, good food. Baby Boob use swooned as we walked in. I will definitely be back.You'll be vindictive.|Good vibe, good food. Great coffee shop and place so I could check in on the Antwerp days because it's pretty open late or some other|0.9918062686920166|0.9914273023605347
Great spot; food ok;|Great spot; food ok; drinks there great, but it wasn't exactly to die for. There were a bit of the waitresses standing piled inside waiting|"Great spot; food ok; service good; funny; Anniversary.

My kids enjoyed their handmade Aloha Tea and Shared Potu. And neither of"|0.9657545685768127|0.991551399230957
Food was pretty good.|Food was pretty good.  We have to say, the service was good with the authenticity.  We were seated promptly at our table as they brought|"Food was pretty good. I wasn't disappointed either.

If you live in the area Burlington, a Monday, we'll be back.Our"|0.992084801197052|0.9921894073486328
Great Peking Duck &|Great Peking Duck & Pro mein. I must thank Kim's lunch rolls, especially the Luxquer that we had last time. The Sich|Great Peking Duck & Waffles as your standard establishment. Give it a shot. Baked pineapple/chocolate vodka/burr/Both are|0.9919008612632751|0.9825693368911743
Two stars just for|Two stars just for a quick off day. Check it out.BEST BIRD EVER!Boy is his gota wings are pretty good.|Two stars just for the servers.  That's many places that are very busy so no just tilling.  It seems that it's always|0.9927865862846375|0.04257631301879883
Tried them twice now,|Tried them twice now, and I was surprised. It was rude.  However a lot of the times when I want to make a really nice meal|Tried them twice now, once in the week, craving some food for me. I wish they started selling them a single sandwich, so that's really|0.005045165307819843|0.5056537985801697
Ok food, but this|Ok food, but this place is by far the best! Great prices and amazing drinks choices. The movies are awesome kurconan too! Would|"Ok food, but this has become a cult favorite of my own.

The place is hidden inside the building, which is conveniently located. Parking"|0.992893397808075|0.9813651442527771
Not bad... the Restaurant.com|Not bad... the Restaurant.com is a bit faster than a Starbucks in Colorado... not a bad deal considering the food time they took.Amazing Mexican food!|"Not bad... the Restaurant.com is a very maneuverable place. Twice.

Knowing the food and the pho, I asked the waiter how much"|0.9883806705474854|0.9721632599830627
My boyfriend reeeeally enjoyed|My boyfriend reeeeally enjoyed the sandwich! Very good tasting and friendly service!I have been to many places in Yeovil County and have been fortunate|My boyfriend reeeeally enjoyed our fish.  He also raved about the consistency of the fish so that he could have left after.  He was|0.9928493499755859|0.9918613433837891
Nice rooftop deck. They|Nice rooftop deck. They do a video spot on the house. They sent an email within about 48 hours. There are a few windows so you can|Nice rooftop deck. They have sufficient shade to support grown cubbyes. I really can't comment on the bags! The Havana roll was very flavorful|0.8137003183364868|0.9862778782844543
Average location. Clean, drive|Average location. Clean, driveable, efficient service. They outfit and service overall. I am certain this one will make a difference in my life in the|"Average location. Clean, drive over, so please chill down a bit.


Some parts are expensive but...

But the best part is that"|0.9663906097412109|0.9501116275787354
Very professional and honest|Very professional and honest,... Just make sure you are getting a full bar. Full bar too (beep). Is a great place to catch|Very professional and honest if employee. Wish Jim has super flavorful cheese with yummy pork.Great music, great samosas, Great comfort food|0.9825666546821594|0.9914292693138123
Love it here!!! Must|Love it here!!! Must try again and we'll eat lots of food!!Awesome chicken braised pork belly and chicken pilaf. Dry skillet stuffed great|Love it here!!! Must go, this restaurant is Metro pub, its legendary and you cannot compare the restaurant with the market terms of the grocery packaged food|0.992931604385376|0.9927220940589905
Went here for lunch|Went here for lunch on more than one occasion. Food is consistently fresh (dry grilled at the wine bar is rarity). Service was cozy and|Went here for lunch before boardwalk Tuesday. And of all things taken out, awesome sandwiches. They had all the ranch/rpc style grilled|0.9612264633178711|0.980369508266449
Great Barnes and Noble|Great Barnes and Noble, group of restaurant-retailers ordering menu several times a week. So it sort of sucks because everything on their menu|"Great Barnes and Noble, 4 rack of juicy brownies on a picnic table.

I could tell the tenderness of the meat and the"|0.015198484994471073|0.9838468432426453
It works, don't expect|It works, don't expect pie to be completely obliterated.  The only downside is there are flex bowls and disposable cups inside the debit or credit card|It works, don't expect the hanging but you won't regret it!Excellent service service and a wonderful vibe. The food was fantastic - crisp and wholes|0.05103769525885582|0.9924942255020142
The chicken tacos are|The chicken tacos are sooo simple and the salads are so good. I had the portobello taco and I had the rabbit empanada|The chicken tacos are on point. You probably should save a cheap meal, but the portions are huge. They come by often, though, and|0.9778547286987305|0.8442740440368652
Food was mediocre at|Food was mediocre at all, but the staff and the food arrived hot.  We highly recommend this place!!!I ordered the Brie roll,|Food was mediocre at bevieveat in their Cambridge lingo, and although I forgot to order the lentil but when the falaf|0.9729169011116028|0.002866274444386363
Great sports bar! Really|Great sports bar! Really nice staff inside and out courteous to the customers and welcoming. BBQ is great even on summer nights. Stars are on|Great sports bar! Really very well made into a league of 6. My only concern was that the food was unbearable. It isn't suited. I|0.9929240942001343|0.8933808207511902
Great eatery!!!! The service|Great eatery!!!! The service is much better than most places used to be. We enjoyed the large menu including delivery and small plates with all kinds of food|Great eatery!!!! The service. Delicious fresh-cut fries, momo's and cheese tacos. I loved this spot thanks to the view from the camp|0.9927452206611633|0.9927977919578552
Enjoyed the lychee tea.|Enjoyed the lychee tea. The texture was very creamy and the sweetness complimented the taste very well and the taste just fades after dropping. I would definitely|"Enjoyed the lychee tea. The mushrooms were wonderful. My selection of ""best chocolate"" parts of the ""original"" donuts did not compare, and"|0.9921587705612183|0.9920774102210999
I am from Los|"I am from Los Angeles and I rarely go to Vineland, but now I definitely find it quite a bit different here.

My boyfriend"|I am from Los Angeles and always find something new.  So when I am used to this particular dish about the lows of the violence, chaos|0.5422362089157104|0.47628968954086304
Phoenix airport and the|Phoenix airport and the decor, it was just fine.Steak & Wine selection is very generous and the portions are all fairly affordable. The tap|"Phoenix airport and the lounge is a perfect reminder of what you wanna do in your airport.

Well, this area is a B-Town"|0.9856971502304077|0.9857680201530457
The company was much|The company was much more pleased with Customer Service than with the restaurant. Super friendly staff helping make sure you are enjoying at home. Probably would recommend|The company was much more than the environmental crap ref won out, covering the bottom half, over comparison, low topiers, top fossils. Over|0.9909789562225342|0.0740981251001358
Older but comfy. Great|Older but comfy. Great service. Not for the fried rice or the marinated cups they serve convenient-salt-enough with nigiri sauce.|Older but comfy. Great tasting vegan, chipotle-Maggie's. Totally worth it.First time here on the west side. Just could|0.9792572259902954|0.9918963313102722
Was good, had more|Was good, had more veggies than anyone else's I chose had Germaine and Cole & was delicious. The desserts sounds super pricey and also very high|Was good, had more than right amount of advertising; very small compared to virtually any restaurants in the city. So I went out to find a little|0.9822813272476196|0.9107690453529358
Banana bread was delicious|Banana bread was delicious but I was irritated it had more salt on it save the salty biscuit just make a place to order. The dressing is|Banana bread was delicious but also in a nicely flavored way. Valencia was the closest thing to me before I shoved myself into it!! My food was|0.07950680702924728|0.9796468019485474
I always get in|I always get in contact with this type of staff and do a vermicelli that's also delivered.  They seem to miss them frequently|I always get in a space like that frequently so that's healthy.  I sit beside a home plate.  It works!  The food|0.03648331016302109|0.9019601345062256
Still nice after all|"Still nice after all.
Design: This was Lighting work. And I almost regretted being here a few days. I begin with the usual robes"|Still nice after all fun and nice after the parking issue.Hubbs has a pretty good selection of items to eat, and places like this offer|0.6909817457199097|0.9827166795730591
Nothing special here. Food|Nothing special here. Food at Dominguez is always fresh, the dishes are always fresh, and the wait staff was awesome. Not only are the|Nothing special here. Food was delicious and the place is clean. But it did cost almost $4.00. Only $1 on a side of|0.9093384146690369|0.41819027066230774
I really like this|I really like this restaurant. It cooks amazing and the food is great. Two of us decided to give this an 8/10. The food|"I really like this place!

  I finally gotten in touch, I want to go in the neighbourhood!

Queso Vegan
"|0.9928608536720276|0.9920035004615784
The gelato just wasn't...|The gelato just wasn't...the other ingredients were mediocre! Served hot and sour & very noticeable. Happy birthday Chris!!! Aaron was friendly & courte|The gelato just wasn't...  They had some issues that I felt that I needed to have some hot-pressed juice and another oddity something on either|0.9895154237747192|0.002888968912884593
Caprese sandwich not what|"Caprese sandwich not what I expected, but Heavens served mild breadsticks, golden cinnamon and garlic.

Dev trousers are a salmon taco."|Caprese sandwich not what you would've been, a high-rated version of the Mac n cheese that used to come with other breakfast sandwiches from P|0.023936882615089417|0.025500012561678886
Amazing Mac and Cheese|Amazing Mac and Cheese is great food. I always order their tuna chips at home and the fried octopus was very good. I highly recommend it|Amazing Mac and Cheese & Eggs Pie has been on the menu for so MANY YEARS AGO! (get mine on the website and top|0.9927670955657959|0.9767410755157471
Service - terrible; food|Service - terrible; food is small. But worth it. The service can be just the same but also the seafood selection made service more interesting and more|"Service - terrible; food was good and a girl loved myself it, but the portion I didn't need was about 2""3"", so I'm"|0.5759159922599792|0.4774666130542755
Service was great. Food|Service was great. Food was good and great. Food was very good.Amazing sampling of pizzas, taste wise and awesome friendly servers to bring us|Service was great. Food was amazing with our requests and the waiters had some of their quiche (coconut soup, saucy beans|0.9925872683525085|0.9927815794944763
Tasty desserts hand assembled|Tasty desserts hand assembled and decorating with fruit swirls and triangles. Skillet pie, Swish pastry rectangle--unsweetened millet.|Tasty desserts hand assembled. Well, they just leave you looking with stains everywhere. Calamari Lifetime chili grass matone which was okay! Holy|0.8431442975997925|0.6705987453460693
Dishonest Establishment. Waitresses are|Dishonest Establishment. Waitresses are friendly, welcoming, and attentive...The best Philly slaw I've ever had! Super expertly Service, Perfect Atmosphere|"Dishonest Establishment. Waitresses are clearly playing voice to voice sincere business. 
Started out with $5, including a video all day jaywalking"|0.9884429574012756|0.002553844591602683
Always a great meal.|Always a great meal. Sweet rice - texture wise - social ience is good. The lamb belly dish was also good. Good lamb - a delicious|Always a great meal. You will love this place B. the dishes I chose here were seasoned perfectly with spice and fell in love with. The bar|0.9928489923477173|0.9927271604537964
