Polish,English
"Pytanie brzmi ile bólu będzie trzeba ci zadać, zanim się zgodzisz.","The question is how much pain will be inflicted on you before you comply."
"W tamtej chwili było nas sześcioro. Ta część to prawda.",By then there were six of us. That part was true.
Nasza jedyna trasa wiedzie przez podzielone terytorium.,Our only route is through the divided territory.
"Moja mama jest z ciebie dumna, że broniłeś swoich przyjaciół.",My mum is proud of you that you defended your friends.
Następne płatności dokonywane są zgodnie z zasadami przewidzianymi w art. 10.,Subsequent payments shall be made in accordance with the rules provided for in Article 10.
"Elita Korpusu telepatów, mają kategorię P12, najsilniejsi jakich mamy.","They're an elite corps of telepaths rated P-12, the strongest we've got."
"Jeśli miałaby zamiar coś zrobić, zrobiłaby to ostatniej nocy.","If she was going to do something, she'd have done it last night."
Proszę wybaczyć bałagan. Nie miałem czasu posprzątać.,"Excuse the mess, I haven't had a chance to clean up."
"To ma sens, toksyny są przenoszone przez wiatr, osadzają się na roślinach.","That makes sense, the toxins are carried by the wind, deposited over the plants."
Bo jesteś kobietą moich marzeń i zasługujesz na idealne oświadczyny.,Because you're the woman of my dreams and you deserve the perfect proposal.
Siła umysłu nie jest moją mocną stroną. Ja to wiem.,"Mental strength is not my strength. I know that."
"Coś mi mówi, że w swoich modlitwach prosisz o więcej.",Something tells me your prayers will go farther.
Dostaniesz maksymalnie 5 lat i będziesz mógł wyjść warunkowo.,You'll get five years max and you'll be eligible for parole.
Po prostu jestem otwartym człowiekiem i lubię łączyć się z ludźmi.,"I'm just an open person, and I like connecting with people."
"Kiedy próbowałem z nim pogadać, przyłożył mi pistolet do twarzy.","When I tried to talk, he put a gun in my face."
"Jak przegrasz, to będzie koniec dla nas wszystkich.","If you lose, it's over for all of us."
Po prostu chcę się dowiedzieć czy wszystko z nią w porządku.,I just want to find out if she's OK.
Dobre maniery w tej Izbie nakazywałyby odpowiedzieć na moje pytanie.,I should have the courtesy of a reply in this House.
Nie będziesz czuła się tak odcięta od świata zewnętrznego.,You won't feel quite so shut out from the outside world.
I znajdzie pan sposób by upewnić się że CIA zostawi Olega Burov'a w spokoju.,And you will find a way to make sure the CIA leaves Oleg Burov alone.
Próbowałam naprawić coś czego nie miałam prawa naprawiać.,I was trying to fix something that I had no business trying to fix.
Jedno na dwa młode nie przeżyją pierwszego roku na tym lodzie.,One out of every two cubs do not survive their first year out on this ice.
"Oboje mnie dręczyli, gdy byłam w wieku Eve, ale wsypałam tylko Dave'a.","They were the two guys that were tormenting me when I was Eve's age, but I only told on Dave."
"Panowie, jestem pewny, że znaleźliśmy to, czego szukacie.","Gentlemen, I'm sure we have found what you're looking for."
"Lub mógłbym udzielić ci prywatnych zajęć na boku.",Or I could give you some private lessons on the side.
Trwałość urządzeń ograniczających zanieczyszczenia (badanie typu V),Durability of anti-pollution devices (Type V test)
"Kto w cudze poddasze nocą włazi... ten puszczyk, i ja go wystraszę!","Whoever sneaks by night into anothers loft... is an owl, and I'll scare him off!"
Będziesz miał proces za twoje zbrodnie przeciw ludom Amazonek i Centaurów.,"You have to stand trial, for your crimes against the Amazons, and the Centaurs."
Zasada pracy jest podobna jak w przypadku drukarek atramentowych.,The principle is similar to that of an inkjet printer.
"Dałem wam kiedyś hasz za darmo, i jeszcze więcej następnego dnia...","I give you guys free hash one day, and more the next day..."
"Możemy dziękować Bogu, że nie było większej tragedii.",We can thank God the tragedy wasn't worse.
Nie możesz sobie pozwolić żeby stracić więcej krwi.,You can't afford to lose more blood.
Eros wykradł ją potajemnie do sekretnego pałacu.,Eros stole her away to a secret palace.
"Prawo, które było przeciwne moim uczuciom i sympatiom.",A law that went against my feelings and my sympathies.
"Twoje problemy z czynszem... znając Michę, zasugeruje, żebyś się tu zatrzymała.","With your rent problems, knowing Micha, he'll suggest you stay here a bit."
"Często mówi się, że obawiamy się tego, czego nie znamy.",It is often said that we fear that which we do not know.
"Jestem jedynym, który kontroluje rezultat historii.",I am the one who controls the outcome of history.
"Albo możesz to być ty, a wówczas naprawdę mam przewalone.","Or it could just be you. Then I'd be really screwed, wouldn't I?"
"Tak, i musieliśmy go puścić godzinę przed zaginięciem Peck.","Yeah, and we had to let him go about an hour before Peck went missing."
"Ricardo Klement to nie kto inny, tylko Adolf Eichmann.",Ricardo Klement was none other than Adolf Eichmann.
"I być może jak oni z panem skończą... to pan dostanie pracę przy odkurzaniu.","Perhaps, when they're done with you... you can get a job vacuuming."
Może kiedyś sprawy potoczą się inaczej... i świat się zmieni.,Maybe someday things will be different... and the world will change.
"W Biblii jest słowo Hebrajskie którego nigdy nie widziałem nigdzie indziej.",In the Bible is a Hebrew word I've never seen anywhere else.
"Pan Hosteen nie może przyjmować w chwili obecnej żadnych gości.",Mr. Hosteen cannot accept any visitors at this time.
Będzie miał szczęście jeśli będzie mógł go widywać raz na rok.,He'll be lucky if he gets a chance to see the boy once a year.
"A teraz chodź, bierz tę laskę i walnij go z całej siły.","Now, grab a cane and give him a good whack."
Konsulaty Wielkiej Brytanii i USA zaprzestały wydawania dokumentów.,The British and American Consulate have stopped issuing papers.
"Dlaczego nikt mi nie wierzy, nawet wtedy, gdy mówię prawdę?",Why is it no one ever believes me even when I'm telling the truth?
"Chloe wciąż jest trzeźwa, wciąż pracuje jako rzeczoznawca.","Chloe is still sober, still working as a claims adjuster."
"To nie chwila, która chciałem, żeby trwała wiecznie!",This isn't the moment I wanted to last forever!
"Wiesz, kochana... wiedziałem, że to się kiedyś zdarzy.","You know, my dear... I knew this was going to happen."
Twoje usta śpiewały piosenki o tej szalonej miłości,Your lips sang the songs of this crazy love
"Do tego przy krwotoku wewnętrznym nie możemy dłużej czekać, inaczej umrze.",And with the swelling in his abdomen we can't wait any longer or he's just going to die.
"Znaki kanji mówiące ""katastrofa, narzędzie i dusza.""","The kanji characters for ""disaster, tool and spirit."""
"To miasto odwróci się od nas, gdy dowiedzą się, że chronisz szpiega.",This town will turn on us if they learn you're protecting a spy.
"Dobra, co jeśli to, co powiedział nam Victor Stokes było prawdą","Okay, what if what Victor Stokes told us was true"
"Sytuacja, w której się znajdujesz, jest wynikiem twoich własnych działań.",The situation you find yourself in is of your own doing.
"Jeśli jest tak dobry, będzie trudno go powstrzymać.","If he's that good, it'll be very difficult to stop him."
"Ciężko było patrzeć na Bay, nie wiedząc i nie będąc w stanie nijak jej pomóc.",It was so hard watching Bay not knowing and not being able to do anything to help her.
Wszystko co wiecie o historii to kłamstwo.,Everything you know about history is a lie.
Wygląda na to że znalazłeś mi dobrego rozgrywającego na czwartą kwartę.,"Looks like you found me the right quarterback for the fourth quarter."
"Jestem pewny, że tego właśnie by chciała.",I'm sure that's what she wants.
"Jeżeli będziesz czegoś potrzebował, użyj dzwoneczka.","If you need anything, just use the bell."
Pewnie słyszał pan o sprawie Gabby Stone.,I'm sure you've heard about the investigation regarding Gabby Stone.
Wprawimy to w ruch i będziemy spodziewać się sukcesu,We'll set it going and hope for the best
"Czasem widzę siebie, jak ślizgam się na podłodze łazienki i rozbijam czaszkę.",Sometimes I see myself slipping on the bathroom floor and cracking my skull.
"Całe konstelacje nietknięte przez zarazę, nieświadome naszego cierpienia.","Whole constellations, untouched by disease, oblivious to our suffering."
Słyszałeś żart córki farmera o tępicielu z Nowego Jorku?,Did you ever hear the farmer's daughter's joke about the exterminator from New York City?
"Państwo Członkowskie, na terytorium którego przestępstwa zostały popełnione;",the Member State in whose territory the acts were committed;
"Co powiesz na wyjście na skrzydło i udawanie, że jesteś gremlinem?",What say you go out on the wing and pretend you're a gremlin?
Sukcesywnie powiększamy naszą flotę o kolejne nowe pojazdy.,We are successively improving our fleet with new vehicles.
"Ale nie mogę tu o tym mówić, przy tych wszystkich ludziach","But I can't talk about it here with all these people around."
"Następnie przygotowujemy mu Gehennę, aby się w niej palił, poniżony, odrzucony.","Then, We have prepared Gehenna for him where he will be roasted, condemned and rejected."
"Mając poczucie, że jesteś częścią czegoś, co ma znaczenie.",Feeling like you're a part of something that really matters.
"Należał do Gwardii Narodowej, został zabity podczas akcji... w dniu przyjazdu.","He was in the National Guard, and he was killed in action... on arrival day."
"Chciałam tylko, żeby David wiedział, że nadal ma nasze poparcie.",I just wanted David to know he still has our support.
"Używam starszego, brytyjskiego odpowiednika Facebooka - Mugscrolla.","I use an older, British form of Facebook called Mug-scroll."
"Cóż, nie jest tak stara, nie w porównaniu do wielu ludzi tutaj.","Well, she's not that old, not compared to a lot of people here."
Ale wtedy zrobił pan coś mądrego. Wspomniał pan o Reinie.,"But then you did something smart, you brought up Reina."
"Religia mówi o rzeczywistości, podczas gdy nauka opiera się na faktach.","Religion speaks of reality, while science depends on facts."
"I tego nie zrobiłem, ale zbyt łatwo mógłbym to zrobić.","And I didn't do it, but I too easily could've."
